점착제,작업자,분류,설명,이론 고형분(%),측정 고형분(%),수율(%),전환율(%),응집량(%),pH,Tg,점도(cps),초기 유화제 농도,입도(nm),Scale,모노머,용제,개시제,유화제 및 첨가제,반응시간,온도
S250423B,노항우,장기보관성개선,[911기반] AA 증량 : 2.5%,0.48399999737739563,0.47600001096725464,0.9872999787330627,0.9835000038146973,0.002099999925121665,8-9,-39.900001525878906,700.0,2.50E-03,,526.739990234375,BA 88.5 / MMA 9 / AA 2.5,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.20wt%,4.75시간,83
S250529C,이민지,난부착용,[917기반] 911 조성 + BMA 4.5% + BA>2-EHA,0.4675999879837036,0.4650999903678894,0.7263000011444092,0.994700014591217,0.004600000102072954,8-9,-63.22999954223633,50.0,3.77E-03,,332.7200012207031,2-EHA 94.2 / BMA 4.5 / AA 1.3 / NDM 0.4,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.21wt% / NH4OH(P/E) 3.24g,4.75시간,83
S250529B,이민지,난부착용,[917기반] 911 조성 + IBOA 4.5%,0.4677000045776367,0.4498000144958496,0.7450000047683716,0.9617000222206116,0.003700000001117587,8-9,-50.2400016784668,50.0,3.77E-03,,332.6199951171875,BA 94.2 / IBOA 4.5 / AA 1.3 / NDM 0.4,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.20wt% / NH4OH(P/E) 3.24g,4.75시간,83
S250529A,이민지,난부착용,[917기반] 911 조성 + LMA 4.5%,0.46790000796318054,0.45989999175071716,0.7368000149726868,0.9829000234603882,0.00279999990016222,8-9,-53.04999923706055,150.0,3.77E-03,,332.4800109863281,BA 94.2 / LMA 4.5 / AA 1.3 / NDM 0.4,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.20wt% / NH4OH(P/E) 3.24g,4.75시간,83
S250528B,이민지,난부착용,[917기반] 911 조성 + EMA 4.5%,0.4675000011920929,0.4514999985694885,0.7904999852180481,0.9657999873161316,0.0031999999191612005,8-9,-48.869998931884766,50.0,3.77E-03,,332.7900085449219,BA 94.2 / EMA 4.5 / AA 1.3 / NDM 0.4,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.21wt% / NH4OH(P/E) 3.24g,4.75시간,83
S250528A,이민지,난부착용,[917기반] 911 조성 + BMA 4.5%,0.4675000011920929,0.4528999924659729,0.777899980545044,0.9688000082969666,0.0031999999191612005,8-9,-50.529998779296875,100.0,3.77E-03,,332.80999755859375,BA 94.2 / BMA 4.5 / AA 1.3 / NDM 0.4,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.22wt% / NH4OH(P/E) 3.24g,4.75시간,83
S250527H,박다영,칼라강판용,[913기반] GMA 3% + AA 1% + CHMA 12% + BA:2-EHA=1:1,0.47189998626708984,0.46149998903274536,0.6859999895095825,0.9779999852180481,0.006899999920278788,8-9,-46.189998626708984,50.0,3.77E-03,,325.3800048828125,BA 42 / 2-EHA 42 / CHMA 12 / GMA 3 / AA 1,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.18wt%,4.75시간,83
S250527G,노항우,바이오모노머적용,[909기반] IBXA 30%,0.47029998898506165,0.41830000281333923,0.579800009727478,0.8894000053405762,0.0031999999191612005,8-9,,50.0,4.14E-03,,219.64999389648438,BA 33.35 / 2-EHA 33.35 / IBXA 30 / 2-HEMA 2 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.15wt%,4.75시간,83
S250526B,노항우,장기보관성개선,[911기반] MMA 0%,0.4837999939918518,0.4616999924182892,0.7279000282287598,0.9542999863624573,0.00989999994635582,8-9,-52.86000061035156,50.0,2.50E-03,,316.1400146484375,BA 98.7 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.20wt%,4.75시간,83
S250526A,노항우,장기보관성개선,[919기반] CHMA 15%,0.4690999984741211,0.42149999737739563,0.6003999710083008,0.8985000252723694,0.07689999788999557,8-9,,50.0,4.14E-03,,330.30999755859375,BA 41.48 / 2-EHA 41.48 / CHMA 15 / AA 1.3 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.20wt%,4.75시간,83
