점착제,작업자,분류,설명,이론 고형분(%),측정 고형분(%),수율(%),전환율(%),응집량(%),pH,Tg,점도(cP),초기 유화제 농도,입도(nm),Scale,모노머,용제,개시제,유화제 및 첨가제,반응시간,온도
S250422A,이민지,딥드로잉용,[909기반] 806 조성 적용,0.4711999893188476,0.4474000036716461,0.7671999931335449,0.9495000243186952,0.002600000007078,8-9,-12.979999542236328,400.0,0.00415,,550.3699951171875,BA 68 / MMA 30 / AA 2,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.20wt%,4.75시간,83.0
S250421H,노항우,장기보관성개선,[910기반] HDDA 0.5%,0.4706999957561493,0.4489000141620636,0.6873000264167786,0.9537000060081482,0.0249000005424022,8-9,,50.0,0.00414,,329.2099914550781,BA 39.1 / 2-EHA 39.1 / CHMA 20 / AA 1.3 / HDDA 0.5,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.13wt%,4.75시간,83.0
S250421G,노항우,장기보관성개선,[910기반] HDDA 0.35%,0.4708999991416931,0.455700010061264,0.5857999920845032,0.9677000045776368,0.0410999990999698,8-9,,50.0,0.00414,,329.04998779296875,BA 39.18 / 2-EHA 39.18 / CHMA 20 / AA 1.3 / HDDA 0.35,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.12wt%,4.75시간,83.0
S250418H,노항우,장기보관성개선,[911기반] BA:2-EHA = 2:2,0.4857000112533569,0.4657999873161316,0.6414999961853027,0.9589999914169312,0.0280000008642673,8-9,-46.20000076293945,50.0,0.0025,,314.8999938964844,BA 44.85 / 2-EHA 44.85 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.13wt%,4.75시간,83.0
S250418G,노항우,장기보관성개선,[911기반] BA:2-EHA = 3:1,0.4859000146389007,0.4754999876022339,0.6728000044822693,0.978600025177002,0.0219999998807907,8-9,-43.84000015258789,50.0,0.0025,,314.7900085449219,BA 67.28 / 2-EHA 22.42 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.12wt%,4.75시간,83.0
S250430A,노항우,난부착용,[913기반] BA > 2-EHA,0.4726999998092651,0.4472000002861023,0.527899980545044,0.9460999965667723,0.0590999983251094,8-9,,100.0,0.00377,,327.8599853515625,2-EHA 78.7 / CHMA 20 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.15wt%,4.75시간,83.0
S250430B,노항우,난부착용,[913기반] BA > 2-EHA + CHMA > BA,0.4715999960899353,0.4584999978542328,0.6417999863624573,0.9721999764442444,0.0295000001788139,8-9,,200.0,0.00377,,328.6199951171875,2-EHA 78.7 / BA 20 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.19wt%,4.75시간,83.0
S250430C,노항우,난부착용,[913기반] BA > 2-EHA + CHMA > LMA,0.4717000126838684,0.412200003862381,0.6209999918937683,0.8738999962806702,0.0010999999940395,8-9,,50.0,0.00377,,328.5799865722656,2-EHA 78.7 / LMA 20 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.19wt%,4.75시간,83.0
S250430D,노항우,장기보관성개선,[911기반] MMA 4.5wt%,0.4842000007629394,0.4684999883174896,0.7361000180244446,0.9675999879837036,0.0031000000890344,8-9,,100.0,0.0025,,315.9100036621094,BA 94.2 / MMA 4.5 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.19wt%,4.75시간,83.0
S250430H,노항우,장기보관성개선,[911기반] MMA > EMA,0.4837999939918518,0.4541999995708465,0.7023000121116638,0.9387999773025512,0.0274000000208616,8-9,,50.0,0.0025,,316.1700134277344,BA 89.7 / EMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.20wt%,4.75시간,83.0
S250430F,노항우,장기보관성개선,[911기반] MMA > BMA,0.4839999973773956,0.4648000001907348,0.6664999723434448,0.9603000283241272,0.0131000000983476,8-9,,100.0,0.0025,,316.04998779296875,BA 89.7 / BMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.20wt%,4.75시간,83.0
S250430G,노항우,장기보관성개선,[911기반] MMA > EA,0.4837999939918518,0.4555000066757202,0.6590999960899353,0.9415000081062316,0.0621999986469745,8-9,,50.0,0.0025,,316.1700134277344,BA 89.7 / EA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.20wt%,4.75시간,83.0
S250429F,노항우,장기보관성개선,[913기반] Ref.,0.4695999920368194,0.4192999899387359,0.4223000109195709,0.8928999900817871,0.0059000002220273,8-9,-36.75,50.0,0.00414,,329.9700012207031,BA 78.7 / CHMA 20 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.18wt%,4.75시간,83.0
S250429G,노항우,장기보관성개선,[913기반] HDDA 0.25%,0.4683000147342682,0.432200014591217,0.6568999886512756,0.9229000210762024,0.0333000011742115,8-9,-36.75,50.0,0.00414,,330.0799865722656,BA 78.45 / CHMA 20 / AA 1.3 / HDDA 0.25,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.19wt%,4.75시간,83.0
S250429H,노항우,장기보관성개선,[913기반] HDDA 0.5%,0.4670999944210052,0.5066999793052673,0.6021999716758728,1.0848000049591064,0.0790999978780746,8-9,-36.75,50.0,0.00414,,330.0799865722656,BA 78.2 / CHMA 20 / AA 1.3 / HDDA 0.5,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.19wt%,4.75시간,83.0
S250428A,이민지,가공용,[909기반] 806 조성 + HDDA 0.5%,0.4727999866008758,0.4433999955654144,0.5598000288009644,0.9377999901771544,0.0788000002503395,8-9,-12.979999542236328,50.0,0.00399,,329.1199951171875,BA 67.5 / MMA 30 / AA 2 / HDDA 0.5,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.13wt%,4.75시간,83.0
S250428B,이민지,가공용,[909기반] 806 조성 + HDDA 0.5% + NDM 0.4%,0.4702000021934509,0.455700010061264,0.7821000218391418,0.9692000150680542,0.0024999999441206,8-9,-12.979999542236328,400.0,0.00414,,330.8299865722656,BA 67.5 / MMA 30 / AA 2 / HDDA 0.5 / NDM 0.4,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.20wt% / NH4OH(P/E) 3.240g,4.75시간,83.0
S250428F,노항우,칼라강판용,[913기반] GMA 5% + AA 3% (재현),0.4709999859333038,0.4424000084400177,0.6876999735832214,0.939300000667572,0.0057999999262392,7-8,-29.700000762939453,200.0,0.00377,,329.04998779296875,BA 72 / CHMA 20 / GMA 5 / AA 3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.22wt%,4.75시간,83.0
S250428G,정주현,재현검증,[909],0.4670000076293945,0.4370000064373016,0.8076000213623047,0.9358000159263612,0.0154999997466802,9,-41.70000076293945,90.0,0.00414,,552.9400024414062,BA 38.35 / 2-EHA 38.35 / IBOMA 20 / 2-HEMA 2 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.29wt%,4.75시간,83.0
S250424A,정주현,재현검증,[909] NG,0.4738999903202057,0.3783999979496002,0.5670999884605408,0.7985000014305115,0.0051000001840293,,-41.70000076293945,80.0,0.00414,,544.9400024414062,BA 38.35 / 2-EHA 38.35 / IBOMA 20 / 2-HEMA 2 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt%,4.75시간,83.0
S250424B,정주현,재현검증,[911],0.488999992609024,0.4656000137329101,0.8503999710083008,0.9520999789237976,0.0065000001341104,4,-41.91999816894531,140.0,0.0025,,521.27001953125,BA 89.7 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250507A,이민지,가공용,[909기반] 802 조성,0.4681999981403351,0.4375999867916107,0.5590999722480774,0.934599995613098,0.0098999999463558,8-9,-36.650001525878906,50.0,0.00415,,330.9700012207031,BA 74 / IBOA 25 / AA 1,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250507B,이민지,가공용,[909기반] 704 조성,0.4681999981403351,0.4318000078201294,0.6887999773025513,0.9222999811172484,0.0020000000949949,8-9,-18.260000228881836,1600.0,0.00415,,330.9700012207031,BA 67 / MMA 23 / MA 2 / 2-HEA 5 / AA 3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250508G,노항우,장기보관성개선,[911기반] MMA 0wt% + EMA 4.5%,0.4839000105857849,0.4621999859809875,0.7218999862670898,0.9552000164985656,0.0170000009238719,8-9,-48.869998931884766,50.0,0.0025,,316.07000732421875,BA 94.2 / EMA 4.5 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.20wt%,4.75시간,83.0
S250508F,노항우,장기보관성개선,[911기반] MMA 0wt% + BMA 4.5%,0.483599990606308,0.465499997138977,0.6431999802589417,0.9625999927520752,0.047699999064207,8-9,-50.529998779296875,50.0,0.0025,,316.2699890136719,BA 94.2 / BMA 4.5 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.21wt%,4.75시간,83.0
S250507E,박다영,장기보관성개선,[911기반] HDDA 0.5% + ER-10 0.1%,0.4828000068664551,0.4503999948501587,0.6845999956130981,0.9329000115394592,0.0299999993294477,8-9,-41.91999816894531,50.0,0.00252,,316.8800048828125,BA 89.2 / MMA 9 / A 1.3 / HDDA 0.5,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt% / NH4OH 0.24wt%,4.75시간,83.0
S250507F,박다영,장기보관성개선,[911기반] HDDA 0.5% + A-10 0.08%,0.4826000034809112,0.4568000137805938,0.6421999931335449,0.94650000333786,0.1292999982833862,8-9,-41.91999816894531,505.0,0.0025,,316.9599914550781,BA 89.2 / MMA 9 / A 1.3 / HDDA 0.5,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / A-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.25wt%,4.75시간,83.0
S250507G,박다영,장기보관성개선,[911기반] HDDA 0.75% + ER-10 0.1%,0.4828000068664551,0.5604000091552734,0.7123000025749207,0.9329000115394592,0.0820999965071678,8-9,-41.91999816894531,50.0,0.00253,,316.8800048828125,BA 88.95 / MMA 9 / AA 1.3 / HDDA 0.75,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt% / NH4OH 0.24wt%,4.75시간,83.0
